fitness,epsilon,crossover_rate,mutation_rate,scaling_factor
718.0000,0.1000,0.6000,0.0500,0.1000
740.0000,0.1000,0.6000,0.0100,0.1000
766.0000,0.0500,0.6000,0.0500,0.5000
771.0000,0.0500,0.6000,0.2000,0.1000
794.0000,0.2000,0.6000,0.0100,0.1000
798.0000,0.0500,0.6000,0.1000,0.1000
799.0000,0.0500,0.6000,0.1000,1.0000
806.0000,0.0500,0.4000,0.2000,0.1000
811.0000,0.0500,0.6000,0.0200,0.1000
815.0000,0.1000,0.6000,0.0500,0.5000
820.0000,0.2000,0.6000,0.1000,0.1000
821.0000,0.2000,0.6000,0.0200,0.5000
821.0000,0.2000,0.6000,0.0500,0.5000
825.0000,0.1000,0.4000,0.2000,0.5000
826.0000,0.2000,0.4000,0.1000,0.5000
829.0000,0.0500,0.6000,0.1000,0.5000
831.0000,0.1000,0.6000,0.2000,0.1000
832.0000,0.2000,0.4000,0.0200,0.1000
832.5506,0.2000,0.4000,0.2000,0.5000
834.0000,0.2000,0.6000,0.0500,0.1000
834.0000,0.1000,0.6000,0.1000,0.1000
838.0000,0.0500,0.6000,0.0500,1.0000
842.0000,0.3000,0.6000,0.1000,1.0000
844.0000,0.0500,0.4000,0.2000,0.5000
850.0000,0.2000,0.6000,0.2000,1.0000
850.0000,0.1000,0.4000,0.2000,0.1000
850.0000,0.2000,0.6000,0.0200,1.0000
856.0000,0.0500,0.4000,0.0100,0.1000
859.0000,0.3000,0.6000,0.1000,0.1000
860.0472,0.1000,0.2000,0.1000,1.0000
860.3036,0.1000,0.4000,0.0500,0.1000
861.0000,0.2000,0.4000,0.1000,1.0000
861.7836,0.3000,0.4000,0.2000,0.1000
863.0000,0.1000,0.0500,0.2000,0.1000
865.0000,0.0500,0.6000,0.0100,1.0000
865.4679,0.2000,0.6000,0.0500,1.0000
866.0000,0.3000,0.6000,0.1000,0.5000
868.0000,0.1000,0.2000,0.0500,0.1000
868.0000,0.1000,0.4000,0.0200,0.5000
868.3752,0.1000,0.6000,0.2000,0.5000
870.0000,0.3000,0.6000,0.0200,0.1000
872.0000,0.3000,0.6000,0.0100,0.1000
874.0000,0.1000,0.4000,0.1000,0.5000
874.9266,0.0500,0.4000,0.2000,2.0000
876.0000,0.3000,0.6000,0.0200,0.5000
878.0000,0.0500,0.6000,0.0100,0.5000
878.0000,0.1000,0.2000,0.1000,0.5000
878.0000,0.3000,0.4000,0.1000,0.5000
879.0000,0.3000,0.2000,0.0500,0.1000
880.0000,0.3000,0.4000,0.0200,0.1000
883.0000,0.0500,0.2000,0.2000,0.5000
884.0000,0.1000,0.4000,0.1000,0.1000
884.0000,0.0500,0.4000,0.0100,0.5000
887.0000,0.1000,0.6000,0.0200,0.1000
889.0000,0.2000,0.6000,0.1000,2.0000
890.9472,0.5000,0.6000,0.1000,0.5000
891.0000,0.2000,0.6000,0.2000,0.5000
891.0000,0.0500,0.6000,0.1000,2.0000
895.0000,0.3000,0.6000,0.0500,2.0000
895.0000,0.0500,0.4000,0.0500,0.5000
897.0000,0.2000,0.4000,0.0100,1.0000
900.5209,0.2000,0.1000,0.2000,0.1000
902.0000,0.3000,0.6000,0.0500,0.5000
902.3201,0.2000,0.4000,0.0200,0.5000
904.4876,0.2000,0.1000,0.0500,0.1000
905.5358,0.3000,0.4000,0.1000,0.1000
906.0000,0.1000,0.1000,0.2000,0.1000
906.6261,0.5000,0.6000,0.2000,0.5000
907.0000,0.0500,0.2000,0.1000,0.5000
907.0000,0.0500,0.4000,0.2000,1.0000
908.0000,0.5000,0.4000,0.0200,0.1000
910.0000,0.2000,0.6000,0.0100,1.0000
911.0000,0.3000,0.6000,0.2000,1.0000
912.0000,0.3000,0.6000,0.0500,0.1000
913.0000,0.1000,0.6000,0.1000,0.5000
913.0000,0.0500,0.6000,0.2000,1.0000
913.0000,0.0500,0.2000,0.0500,0.1000
913.0000,0.2000,0.1000,0.2000,0.5000
913.0000,0.2000,0.4000,0.0500,0.5000
915.0000,0.1000,0.4000,0.0100,0.5000
916.0000,0.0500,0.6000,0.0200,2.0000
916.0000,0.2000,0.2000,0.0500,0.1000
917.0000,0.3000,0.4000,0.1000,2.0000
917.0000,0.0500,0.0500,0.0500,0.1000
917.0000,0.0500,0.2000,0.0500,1.0000
918.0000,0.1000,0.4000,0.0500,2.0000
920.0000,0.2000,0.6000,0.0200,0.1000
924.0000,0.0500,0.6000,0.2000,0.5000
925.0000,0.3000,0.6000,0.0100,0.5000
925.4003,0.1000,0.2000,0.0500,2.0000
926.0000,0.2000,0.4000,0.2000,0.1000
928.0000,0.5000,0.4000,0.1000,0.1000
929.0000,0.0500,0.4000,0.0200,0.5000
930.7351,0.0500,0.6000,0.0100,2.0000
931.0000,0.3000,0.6000,0.0200,1.0000
931.0000,0.0500,0.4000,0.0500,0.1000
931.0000,0.3000,0.4000,0.2000,2.0000
931.0000,0.5000,0.6000,0.2000,0.1000
932.0000,0.2000,0.4000,0.0500,2.0000
932.4606,0.2000,0.6000,0.0500,2.0000
932.9801,0.5000,0.2000,0.1000,0.1000
933.0000,0.2000,0.4000,0.0100,0.1000
933.0000,0.1000,0.2000,0.2000,1.0000
934.0000,0.1000,0.6000,0.1000,1.0000
935.0000,0.0500,0.2000,0.1000,1.0000
936.0000,0.0500,0.2000,0.1000,0.1000
938.0000,0.0500,0.4000,0.0200,2.0000
938.0000,0.0500,0.1000,0.1000,0.5000
