patient_index,x,y,cluster
61,50,30,0
62,50,35,0
63,50,40,0
64,48,30,0
65,48,40,0
66,47,35,0
67,47,40,0
68,45,30,0
69,45,35,0
72,53,30,0
74,53,35,0
70,95,30,1
71,95,35,1
73,92,30,1
53,44,5,2
54,42,10,2
55,42,15,2
56,40,5,2
57,40,15,2
58,38,5,2
59,38,15,2
60,35,5,2
92,67,85,3
93,65,85,3
94,65,82,3
95,62,80,3
96,60,80,3
97,60,85,3
98,58,75,3
99,55,80,3
20,30,50,4
21,30,52,4
22,28,52,4
23,28,55,4
24,25,50,4
25,25,52,4
26,25,55,4
27,23,52,4
28,23,55,4
29,20,50,4
30,20,55,4
1,45,68,5
2,45,70,5
3,42,66,5
4,42,68,5
5,42,65,5
6,40,69,5
7,40,66,5
8,38,68,5
9,38,70,5
10,35,66,5
11,35,69,5
12,25,85,5
13,22,75,5
14,22,85,5
15,20,80,5
16,20,85,5
17,18,75,5
18,15,75,5
19,15,80,5
75,45,65,5
82,75,55,6
83,72,55,6
84,70,58,6
85,68,60,6
86,66,55,6
87,65,55,6
88,65,60,6
89,63,58,6
90,60,55,6
91,60,60,6
40,35,30,7
41,35,32,7
42,33,32,7
43,33,35,7
44,32,30,7
45,30,30,7
46,30,32,7
47,30,35,7
48,28,30,7
49,28,35,7
50,26,32,7
51,25,30,7
52,25,35,7
31,10,35,8
32,10,40,8
33,8,40,8
34,8,45,8
35,5,35,8
36,5,45,8
37,2,40,8
38,0,40,8
39,0,45,8
76,90,35,9
77,88,30,9
78,88,35,9
79,87,30,9
80,85,25,9
81,85,35,9
